macro,value,source,formula,notes
MetricSboxCompigraEnergyNJ,26.69,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,1000 * summary[Compigra-real-unified].energy_uj_corrected_canonical,
MetricSboxCompigraEnergyUJ,0.027,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Compigra-real-unified].energy_uj_corrected_canonical,
MetricSboxCompigraIdleArithmeticPct,90.2,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/compigra/combined_sbox_x7_instructions.csv,100 * total_idle_slots / total_slots,Arithmetic idle ratio from per-bundle NOP counts in instructions.csv.
MetricSboxCompigraIdlePct,89.9,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/compigra/combined_sbox_x7_instructions.csv,100 * (exp(mean(log(idle_slots_per_bundle + 1))) - 1) / 16,Bundle-level geometric mean idle ratio with +1 smoothing on idle-slot counts.
MetricSboxCompigraKernelNB,21,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Compigra-real-unified].compiled_cycles_static,Static bundle count of the core Compigra kernel before expansion into the combined schedule CSV.
MetricSboxCompigraNB,"2{,}564",/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/compigra/combined_sbox_x7_instructions.csv,count(numeric header lines in combined_sbox_x7_instructions.csv),Total compiled bundles in the combined Compigra schedule CSV.
MetricSboxCompigraPowerMW,0.75,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Compigra-real-unified].power_uw_corrected_canonical / 1000,
MetricSboxCompigraSlowdownVsCastm,6.58,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Compigra-real-unified].n_cc_canonical / summary[OpenEdgeDSL].n_cc_canonical,
MetricSboxCompigraSmulPct,0.0,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,ops_profile_summary[Compigra-real-unified].smul_pct,
MetricSboxManualCC,678,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Manual-k7].n_cc_canonical,
MetricSboxManualCsvBundleCount,406,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/manual/sbox_x7_k7/instructions.csv,count(numeric header lines in instructions.csv),Count of bundle header blocks in the manual CSV.
MetricSboxManualCsvLastBundleIndex,405,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/manual/sbox_x7_k7/instructions.csv,max(int(line) for numeric header lines in instructions.csv),"Bundle headers are zero-based, so the last visible header is an index, not the bundle count."
MetricSboxManualDispatches,1,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Manual-k7].dispatches_canonical,
MetricSboxManualEnergyNJ,6.26,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,1000 * summary[Manual-k7].energy_uj_corrected_canonical,
MetricSboxManualEnergyUJ,0.006,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Manual-k7].energy_uj_corrected_canonical,
MetricSboxManualIdleArithmeticPct,74.6,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/manual/sbox_x7_k7/instructions.csv,100 * total_idle_slots / total_slots,Arithmetic idle ratio from per-bundle NOP counts in instructions.csv.
MetricSboxManualIdlePct,64.3,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/kernels/manual/sbox_x7_k7/instructions.csv,100 * (exp(mean(log(idle_slots_per_bundle + 1))) - 1) / 16,Bundle-level geometric mean idle ratio with +1 smoothing on idle-slot counts.
MetricSboxManualKernelNB,406,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Manual-k7].compiled_cycles_static,
MetricSboxManualNB,406,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Manual-k7].compiled_cycles,
MetricSboxManualPowerMW,0.92,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,summary[Manual-k7].power_uw_corrected_canonical / 1000,
MetricSboxManualSmulPct,2.5,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,ops_profile_summary[Manual-k7].smul_pct,
MetricValidationEdslMismatches,0,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/cfgc_validation/edsl_vs_c_python_104_v1.json,mismatch_count,
MetricValidationEdslVectors,104,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/cfgc_validation/edsl_vs_c_python_104_v1.json,total_vectors,
MetricValidationSboxMismatches,0,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,common summary[*].mismatches across Manual-k7/Compigra-real-unified/OpenEdgeDSL,
MetricValidationSboxVectors,25,/Users/ccampos/UMA/ZKP/cgra-thesis-workspace/submodules/poseidon2/outputs/sbox_compare_fast_paper/sbox_compare_summary.json,common summary[*].vectors across Manual-k7/Compigra-real-unified/OpenEdgeDSL,
